air1_iata,air1_lat,air1_lng,air2_iata,air2_lat,air2_lng,route,twc
DEL,28.56861111,77.11222222,IXR,23.31416667,85.32166667,nan,23265
GOI,15.38083333,73.83138889,BLR,13.20694444,77.70416667,nan,20460
GOI,15.38083333,73.83138889,IDR,22.72179985,75.80110168,nan,4620
GAU,26.10611111,91.58583333,BLR,13.20694444,77.70416667,nan,9295
GAU,26.10611111,91.58583333,IMF,24.76,93.89666667,nan,14476
HYD,17.24,78.43,COK,10.155,76.391,nan,17490
HYD,17.24,78.43,BBI,20.24440002,85.81780243,nan,13860
HYD,17.24,78.43,IXR,23.31416667,85.32166667,nan,4620
IMF,24.76,93.89666667,GAU,26.10611111,91.58583333,nan,14476
IMF,24.76,93.89666667,DEL,28.56861111,77.11222222,nan,4494
IMF,24.76,93.89666667,CCU,22.65472222,88.44666667,nan,9819
IDR,22.72179985,75.80110168,BLR,13.20694444,77.70416667,nan,12129
IDR,22.72179985,75.80110168,GOI,15.38083333,73.83138889,nan,4620
JAI,26.82416667,75.81222222,BLR,13.20694444,77.70416667,nan,13695
JAI,26.82416667,75.81222222,PNQ,18.58222222,73.91972222,nan,3465
COK,10.155,76.391,HYD,17.24,78.43,nan,18645
CCU,22.65472222,88.44666667,IXR,23.31416667,85.32166667,nan,9940
CCU,22.65472222,88.44666667,BBI,20.24440002,85.81780243,nan,17325
CCU,22.65472222,88.44666667,NAG,21.09222222,79.04722222,nan,8085
CCU,22.65472222,88.44666667,IMF,24.76,93.89666667,nan,9819
CCU,22.65472222,88.44666667,PNQ,18.58222222,73.91972222,nan,12803
NAG,21.09222222,79.04722222,BLR,13.20694444,77.70416667,nan,11880
NAG,21.09222222,79.04722222,CCU,22.65472222,88.44666667,nan,9240
PNQ,18.58222222,73.91972222,JAI,26.82416667,75.81222222,nan,4785
PNQ,18.58222222,73.91972222,CCU,22.65472222,88.44666667,nan,13958
IXR,23.31416667,85.32166667,CCU,22.65472222,88.44666667,nan,9775
IXR,23.31416667,85.32166667,DEL,28.56861111,77.11222222,nan,19635
IXR,23.31416667,85.32166667,BLR,13.20694444,77.70416667,nan,5775
IXR,23.31416667,85.32166667,BBI,20.24440002,85.81780243,nan,2310
IXR,23.31416667,85.32166667,HYD,17.24,78.43,nan,4620
VTZ,17.72111111,83.22444444,BLR,13.20694444,77.70416667,nan,10395
AGR,27.1575,77.96083333,VNS,25.45222222,82.85944444,nan,417
AGR,27.1575,77.96083333,HJR,24.81719971,79.91860199,nan,417
AJL,23.84059906,92.61969757,CCU,22.65472222,88.44666667,nan,1946
AJL,23.84059906,92.61969757,IMF,24.76,93.89666667,nan,278
ATQ,31.70777778,74.79916667,NDC,19.18194444,77.31861111,nan,660
IXU,19.86277778,75.39805556,BOM,19.08861111,72.86805556,nan,8848
IXU,19.86277778,75.39805556,DEL,28.56861111,77.11222222,nan,1946
BLR,13.20694444,77.70416667,HBX,15.36166667,75.08472222,nan,1814
BHO,23.2875,77.3375,BOM,19.08861111,72.86805556,nan,8708
BHO,23.2875,77.3375,DEL,28.56861111,77.11222222,nan,9954
BBI,20.24440002,85.81780243,BOM,19.08861111,72.86805556,nan,9758
BBI,20.24440002,85.81780243,DEL,28.56861111,77.11222222,nan,19305
IXC,30.67472222,76.79055556,BOM,19.08861111,72.86805556,nan,13698
IXC,30.67472222,76.79055556,PNQ,18.58222222,73.91972222,nan,3714
IXC,30.67472222,76.79055556,IXL,34.13583333,77.54638889,nan,834
CJB,11.02666667,77.04166667,BOM,19.08861111,72.86805556,nan,13790
DEL,28.56861111,77.11222222,DIB,27.48385278,95.016944,nan,1485
DEL,28.56861111,77.11222222,RAJ,22.30920029,70.77950287,nan,1668
DEL,28.56861111,77.11222222,RPR,21.18111111,81.73847222,nan,15885
DEL,28.56861111,77.11222222,VTZ,17.72111111,83.22444444,nan,11948
DEL,28.56861111,77.11222222,BHO,23.2875,77.3375,nan,8708
DEL,28.56861111,77.11222222,VGA,16.52888889,80.79583333,nan,4333
DEL,28.56861111,77.11222222,NAG,21.09222222,79.04722222,nan,21189
DEL,28.56861111,77.11222222,IXL,34.13583333,77.54638889,nan,18919
DEL,28.56861111,77.11222222,LKO,26.76194444,80.88333333,nan,57772
DEL,28.56861111,77.11222222,IDR,22.72179985,75.80110168,nan,19712
DEL,28.56861111,77.11222222,GAY,24.74444444,84.95111111,nan,973
DEL,28.56861111,77.11222222,JDH,26.25111111,73.04888889,nan,7840
DEL,28.56861111,77.11222222,UDR,24.61777778,73.89611111,nan,13281
DEL,28.56861111,77.11222222,IXU,19.86277778,75.39805556,nan,1946
DEL,28.56861111,77.11222222,BDQ,22.32944444,73.21944444,nan,11978
DEL,28.56861111,77.11222222,BBI,20.24440002,85.81780243,nan,19305
DIB,27.48385278,95.016944,CCU,22.65472222,88.44666667,nan,3700
DMU,25.88388889,93.77111111,CCU,22.65472222,88.44666667,nan,3978
GAY,24.74444444,84.95111111,DEL,28.56861111,77.11222222,nan,973
GAY,24.74444444,84.95111111,VNS,25.45222222,82.85944444,nan,973
HBX,15.36166667,75.08472222,BLR,13.20694444,77.70416667,nan,1814
HBX,15.36166667,75.08472222,BOM,19.08861111,72.86805556,nan,834
IMF,24.76,93.89666667,AJL,23.84059906,92.61969757,nan,278
IDR,22.72179985,75.80110168,BOM,19.08861111,72.86805556,nan,23024
IDR,22.72179985,75.80110168,DEL,28.56861111,77.11222222,nan,17472
JAI,26.82416667,75.81222222,BOM,19.08861111,72.86805556,nan,24010
IXJ,32.68916667,74.8375,IXL,34.13583333,77.54638889,nan,834
IXJ,32.68916667,74.8375,SXR,33.98713889,74.77425,nan,11351
IXJ,32.68916667,74.8375,DEL,28.56861111,77.11222222,nan,14476
JGA,22.46549988,70.01260376,BOM,19.08861111,72.86805556,nan,1946
JDH,26.25111111,73.04888889,BOM,19.08861111,72.86805556,nan,5580
JDH,26.25111111,73.04888889,DEL,28.56861111,77.11222222,nan,7840
HJR,24.81719971,79.91860199,AGR,27.1575,77.96083333,nan,417
HJR,24.81719971,79.91860199,VNS,25.45222222,82.85944444,nan,5233
COK,10.155,76.391,TRV,8.48,76.92,nan,4879
CCU,22.65472222,88.44666667,DIB,27.48385278,95.016944,nan,3700
CCU,22.65472222,88.44666667,AJL,23.84059906,92.61969757,nan,1946
CCU,22.65472222,88.44666667,DMU,25.88388889,93.77111111,nan,3978
CCU,22.65472222,88.44666667,VNS,25.45222222,82.85944444,nan,3978
CCJ,11.14,75.95,BOM,19.08861111,72.86805556,nan,7588
IXL,34.13583333,77.54638889,SXR,33.98713889,74.77425,nan,1433
IXL,34.13583333,77.54638889,IXJ,32.68916667,74.8375,nan,834
IXL,34.13583333,77.54638889,IXC,30.67472222,76.79055556,nan,834
LKO,26.76194444,80.88333333,DEL,28.56861111,77.11222222,nan,61626
LKO,26.76194444,80.88333333,BOM,19.08861111,72.86805556,nan,17487
BOM,19.08861111,72.86805556,BHO,23.2875,77.3375,nan,8708
BOM,19.08861111,72.86805556,IXC,30.67472222,76.79055556,nan,17728
BOM,19.08861111,72.86805556,CCJ,11.14,75.95,nan,9002
BOM,19.08861111,72.86805556,IDR,22.72179985,75.80110168,nan,23024
BOM,19.08861111,72.86805556,LKO,26.76194444,80.88333333,nan,17487
BOM,19.08861111,72.86805556,JDH,26.25111111,73.04888889,nan,5580
BOM,19.08861111,72.86805556,NAG,21.09222222,79.04722222,nan,17479
BOM,19.08861111,72.86805556,RPR,21.18111111,81.73847222,nan,10850
BOM,19.08861111,72.86805556,CJB,11.02666667,77.04166667,nan,13790
